case,x,v_x_0
h=0,0.0,-0.0012697477797365426
h=0,0.0004,-0.0008907324859130998
h=0,0.0008,-0.0005117411076971159
h=0,0.0012000000000000001,-0.00013277384157605479
h=0,0.0016,0.0002461691158656505
h=0,0.002,0.0006250875679486245
h=0,0.0024000000000000002,0.0010039813178970296
h=0,0.0028,0.0013828501688405942
h=0,0.0032,0.0017616939238137592
h=0,0.0036000000000000003,0.002140512385755488
h=0,0.004,0.002519305357511301
h=0,0.0044,0.0028980726418317507
h=0,0.0048000000000000004,0.0032768140413731266
h=0,0.005200000000000001,0.003655529358697933
h=0,0.0056,0.004034218396275368
h=0,0.006,0.004412880956480249
h=0,0.0064,0.004791516841596162
h=0,0.0068000000000000005,0.005170125853810822
h=0,0.007200000000000001,0.005548707795222347
h=0,0.0076,0.0059272624678337275
h=0,0.008,0.00630578967355776
h=0,0.008400000000000001,0.006684289214213524
h=0,0.0088,0.007062760891529762
h=0,0.0092,0.007441204507143136
h=0,0.009600000000000001,0.007819619862598262
h=0,0.01,0.008198006759349983
h=0,0.010400000000000001,0.008576364998761623
h=0,0.0108,0.00895469438210592
h=0,0.0112,0.009332994710565742
h=0,0.011600000000000001,0.009711265785232771
h=0,0.012,0.010089507407110466
h=0,0.012400000000000001,0.01046771937711097
h=0,0.0128,0.010845901496058496
h=0,0.0132,0.0112240535646867
h=0,0.013600000000000001,0.011602175383642294
h=0,0.014,0.011980266753481066
h=0,0.014400000000000001,0.012358327474672165
h=0,0.0148,0.012736357347595926
h=0,0.0152,0.013114356172544564
h=0,0.015600000000000001,0.013492323749722902
h=0,0.016,0.01387025987924797
h=0,0.0164,0.014248164361150388
h=0,0.016800000000000002,0.014626036995373511
h=0,0.0172,0.015003877581773045
h=0,0.0176,0.015381685920119985
h=0,0.018000000000000002,0.015759461810097315
h=0,0.0184,0.016137205051303855
h=0,0.0188,0.01651491544325119
h=0,0.019200000000000002,0.0168925927853666
h=0,0.0196,0.01727023687699157
h=0,0.02,0.017647847517382045
h=0,0.0204,0.01802542450571072
h=0,0.020800000000000003,0.018402967641064652
h=0,0.0212,0.018780476722447054
h=0,0.0216,0.01915795154877762
h=0,0.022000000000000002,0.019535391918891188
h=0,0.0224,0.01991279763154052
h=0,0.0228,0.020290168485394534
h=0,0.023200000000000002,0.02066750427903903
h=0,0.0236,0.02104480481097699
h=0,0.024,0.02142206987962927
h=0,0.0244,0.02179929928333468
h=0,0.024800000000000003,0.022176492820350027
h=0,0.0252,0.022553650288850167
h=0,0.0256,0.02293077148692874
h=0,0.026000000000000002,0.023307856212597775
